"Statistic Label","Month","Domestic or Import Source","UNIT","VALUE"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 January","Domestic","Million Litres","127"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 February","Domestic","Million Litres","204"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 March","Domestic","Million Litres","378.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 April","Domestic","Million Litres","573.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 May","Domestic","Million Litres","681"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 June","Domestic","Million Litres","637.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 July","Domestic","Million Litres","605.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 August","Domestic","Million Litres","542.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 September","Domestic","Million Litres","439.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 October","Domestic","Million Litres","372.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 November","Domestic","Million Litres","231.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2008 December","Domestic","Million Litres","150.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 January","Domestic","Million Litres","131.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 February","Domestic","Million Litres","197.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 March","Domestic","Million Litres","416.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 April","Domestic","Million Litres","560.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 May","Domestic","Million Litres","645.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 June","Domestic","Million Litres","615.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 July","Domestic","Million Litres","576.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 August","Domestic","Million Litres","504.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 September","Domestic","Million Litres","415.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 October","Domestic","Million Litres","365.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 November","Domestic","Million Litres","220.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2009 December","Domestic","Million Litres","136.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 January","Domestic","Million Litres","118.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 February","Domestic","Million Litres","192.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 March","Domestic","Million Litres","380.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 April","Domestic","Million Litres","530.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 May","Domestic","Million Litres","693.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 June","Domestic","Million Litres","664.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 July","Domestic","Million Litres","623.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 August","Domestic","Million Litres","562"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 September","Domestic","Million Litres","490.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 October","Domestic","Million Litres","437"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 November","Domestic","Million Litres","303.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2010 December","Domestic","Million Litres","176.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 January","Domestic","Million Litres","146.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 February","Domestic","Million Litres","217.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 March","Domestic","Million Litres","448.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 April","Domestic","Million Litres","634.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 May","Domestic","Million Litres","738"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 June","Domestic","Million Litres","701"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 July","Domestic","Million Litres","669.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 August","Domestic","Million Litres","580"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 September","Domestic","Million Litres","483.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 October","Domestic","Million Litres","377.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 November","Domestic","Million Litres","234.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2011 December","Domestic","Million Litres","145.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 January","Domestic","Million Litres","133.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 February","Domestic","Million Litres","236.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 March","Domestic","Million Litres","473"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 April","Domestic","Million Litres","637.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 May","Domestic","Million Litres","735"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 June","Domestic","Million Litres","684.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 July","Domestic","Million Litres","609.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 August","Domestic","Million Litres","546.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 September","Domestic","Million Litres","446.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 October","Domestic","Million Litres","364.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 November","Domestic","Million Litres","227.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2012 December","Domestic","Million Litres","138"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 January","Domestic","Million Litres","125.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 February","Domestic","Million Litres","222.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 March","Domestic","Million Litres","468.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 April","Domestic","Million Litres","568.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 May","Domestic","Million Litres","733.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 June","Domestic","Million Litres","700.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 July","Domestic","Million Litres","652.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 August","Domestic","Million Litres","592.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 September","Domestic","Million Litres","498.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 October","Domestic","Million Litres","418.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 November","Domestic","Million Litres","276.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2013 December","Domestic","Million Litres","164.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 January","Domestic","Million Litres","132"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 February","Domestic","Million Litres","214"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 March","Domestic","Million Litres","470.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 April","Domestic","Million Litres","697"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 May","Domestic","Million Litres","785.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 June","Domestic","Million Litres","732.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 July","Domestic","Million Litres","688"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 August","Domestic","Million Litres","608.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 September","Domestic","Million Litres","519.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 October","Domestic","Million Litres","426.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 November","Domestic","Million Litres","237.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2014 December","Domestic","Million Litres","137.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 January","Domestic","Million Litres","114.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 February","Domestic","Million Litres","215.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 March","Domestic","Million Litres","454"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 April","Domestic","Million Litres","784.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 May","Domestic","Million Litres","875.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 June","Domestic","Million Litres","819.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 July","Domestic","Million Litres","768.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 August","Domestic","Million Litres","693.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 September","Domestic","Million Litres","604.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 October","Domestic","Million Litres","536.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 November","Domestic","Million Litres","347.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2015 December","Domestic","Million Litres","181.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 January","Domestic","Million Litres","147.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 February","Domestic","Million Litres","287.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 March","Domestic","Million Litres","594.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 April","Domestic","Million Litres","760.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 May","Domestic","Million Litres","926.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 June","Domestic","Million Litres","853.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 July","Domestic","Million Litres","782.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 August","Domestic","Million Litres","699.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 September","Domestic","Million Litres","583.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 October","Domestic","Million Litres","500.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 November","Domestic","Million Litres","337.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2016 December","Domestic","Million Litres","178.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 January","Domestic","Million Litres","148.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 February","Domestic","Million Litres","272.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 March","Domestic","Million Litres","620.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 April","Domestic","Million Litres","866.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 May","Domestic","Million Litres","999.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 June","Domestic","Million Litres","917.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 July","Domestic","Million Litres","875.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 August","Domestic","Million Litres","786.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 September","Domestic","Million Litres","654"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 October","Domestic","Million Litres","534.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 November","Domestic","Million Litres","380.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2017 December","Domestic","Million Litres","205.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 January","Domestic","Million Litres","161.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 February","Domestic","Million Litres","294.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 March","Domestic","Million Litres","627.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 April","Domestic","Million Litres","823.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 May","Domestic","Million Litres","993.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 June","Domestic","Million Litres","924.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 July","Domestic","Million Litres","853.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 August","Domestic","Million Litres","823.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 September","Domestic","Million Litres","721.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 October","Domestic","Million Litres","642"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 November","Domestic","Million Litres","461.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2018 December","Domestic","Million Litres","258.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 January","Domestic","Million Litres","175.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 February","Domestic","Million Litres","303.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 March","Domestic","Million Litres","708.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 April","Domestic","Million Litres","953.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 May","Domestic","Million Litres","1072.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 June","Domestic","Million Litres","1001"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 July","Domestic","Million Litres","943.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 August","Domestic","Million Litres","842.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 September","Domestic","Million Litres","721.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 October","Domestic","Million Litres","604.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 November","Domestic","Million Litres","418.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2019 December","Domestic","Million Litres","241.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 January","Domestic","Million Litres","176.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 February","Domestic","Million Litres","331.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 March","Domestic","Million Litres","725.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 April","Domestic","Million Litres","982.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 May","Domestic","Million Litres","1115.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 June","Domestic","Million Litres","1031"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 July","Domestic","Million Litres","985"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 August","Domestic","Million Litres","867.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 September","Domestic","Million Litres","725.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 October","Domestic","Million Litres","646.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 November","Domestic","Million Litres","449.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2020 December","Domestic","Million Litres","258.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 January","Domestic","Million Litres","182.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 February","Domestic","Million Litres","352.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 March","Domestic","Million Litres","829.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 April","Domestic","Million Litres","1060.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 May","Domestic","Million Litres","1181"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 June","Domestic","Million Litres","1067.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 July","Domestic","Million Litres","1017.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 August","Domestic","Million Litres","917.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 September","Domestic","Million Litres","776.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 October","Domestic","Million Litres","649.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 November","Domestic","Million Litres","465.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2021 December","Domestic","Million Litres","258.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 January","Domestic","Million Litres","183.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 February","Domestic","Million Litres","367.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 March","Domestic","Million Litres","808.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 April","Domestic","Million Litres","1054.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 May","Domestic","Million Litres","1166"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 June","Domestic","Million Litres","1057.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 July","Domestic","Million Litres","1022.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 August","Domestic","Million Litres","919.01"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 September","Domestic","Million Litres","785.62"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 October","Domestic","Million Litres","692.16"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 November","Domestic","Million Litres","484.86"
"Intake of Cows Milk by Milk Processors and Co-Ops","2022 December","Domestic","Million Litres","282.73"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 January","Domestic","Million Litres","180.42"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 February","Domestic","Million Litres","380.98"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 March","Domestic","Million Litres","801.41"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 April","Domestic","Million Litres","1028.03"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 May","Domestic","Million Litres","1159.04"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 June","Domestic","Million Litres","1045.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 July","Domestic","Million Litres","1014.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 August","Domestic","Million Litres","909.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 September","Domestic","Million Litres","763.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 October","Domestic","Million Litres","588.67"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 November","Domestic","Million Litres","381.66"
"Intake of Cows Milk by Milk Processors and Co-Ops","2023 December","Domestic","Million Litres","205.32"
"Intake of Cows Milk by Milk Processors and Co-Ops","2024 January","Domestic","Million Litres","148.47"
"Intake of Cows Milk by Milk Processors and Co-Ops","2024 February","Domestic","Million Litres","351.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","2024 March","Domestic","Million Litres","757.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","2024 April","Domestic","Million Litres","952"
"Intake of Cows Milk by Milk Processors and Co-Ops","2024 May","Domestic","Million Litres","1107.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","2024 June","Domestic","Million Litres","1032.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","2024 July","Domestic","Million Litres","980.7"
